Poll Date,Constituency,Constituency Code,Constituency URL,Party,Party ID,Votes,Ballots Rejected
2015-05-07,"Vauxhall",E14001008,http://statistics.data.gov.uk/doc/statistical-geography/E14001008,Conservative Party,PP52,
2015-05-07,"Vauxhall",E14001008,http://statistics.data.gov.uk/doc/statistical-geography/E14001008,Pirate Party UK,PP770,
2015-05-07,"Vauxhall",E14001008,http://statistics.data.gov.uk/doc/statistical-geography/E14001008,The Whig Party,PP2380,
2015-05-07,"Vauxhall",E14001008,http://statistics.data.gov.uk/doc/statistical-geography/E14001008,Left Unity,PP2045,
2015-05-07,"Vauxhall",E14001008,http://statistics.data.gov.uk/doc/statistical-geography/E14001008,Green Party,PP63,
2015-05-07,"Vauxhall",E14001008,http://statistics.data.gov.uk/doc/statistical-geography/E14001008,Labour Party,PP53,
2015-05-07,"Vauxhall",E14001008,http://statistics.data.gov.uk/doc/statistical-geography/E14001008,Cannabis is Safer than Alcohol,PP2552,
2015-05-07,"Vauxhall",E14001008,http://statistics.data.gov.uk/doc/statistical-geography/E14001008,The Socialist Party of Great Britain,PP110,
2015-05-07,"Vauxhall",E14001008,http://statistics.data.gov.uk/doc/statistical-geography/E14001008,UK Independence Party (UKIP),PP85,
2015-05-07,"Vauxhall",E14001008,http://statistics.data.gov.uk/doc/statistical-geography/E14001008,Liberal Democrats,PP90,
